LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,0,0,0,0,0,0,0,0.5,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0,0.5,0,0,0
1s3,1ho,1c4,0.331,0.267,0.202,1.0,0.252,0.502,0.223,0,0,0,0
os2,3e,1c4,0.169,0,0.798,0,0,0,0.278,0,0.223,0.223,0
3s1,3e,1c4,0.169,0.468,0,0,0.485,0,0.278,0,0,0,0
2so,5ho,1c4,0.331,0.265,0,0,0.263,0.498,0.221,0,0,0,0
5s1,5h4,1c4,0,0,0,0,0,0,0,0,0.389,0.388,0.349
1s5,1h2,1c4,0,0,0,0,0,0,0,0,0.389,0.389,0.349
3ob,3e,1c4,0,0,0,0,0,0,0,0,0,0,0.303
