method,gibbs_phys_RMSD,gibbs_RMSD
REF,0.0,0.0
B3LYP,0.0,0.1677
APFD,0.0,0.17179
BMK,0.0,0.11033
M06L,0.0,0.32139
PBEPBE,0.0,0.13803
DFTB,0.0,1.90524
DFTB3,0.0,2.41095
AM1,0.0,2.9813
PM3,0.0,2.5234
PM3MM,0.0,2.52329
PM6,0.0,2.16016
