LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,e1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.663,n/a,n/a,n/a
4c1,e5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.663,n/a,n/a,n/a
4c1,oh1,3s1,5.8,5.985,6.041,5.942,5.638,5.981,3.885,n/a,n/a,n/a,n/a
4c1,e3,1s3,5.8,5.985,6.04,n/a,5.641,n/a,3.885,n/a,3.247,3.247,n/a
4c1,oh5,os2,5.8,5.983,6.039,5.941,5.659,5.977,3.886,n/a,n/a,n/a,n/a
4c1,e3,2so,5.8,n/a,n/a,n/a,n/a,n/a,3.883,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.374,3.374,2.58
4c1,4h5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.374,3.375,2.58
4c1,e3,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.866
