LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.868,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.868,n/a,n/a,n/a
1s3,1ho,1c4,10.5,10.004,10.894,10.434,10.537,10.076,7.731,n/a,n/a,n/a,n/a,n/a
os2,3e,1c4,10.9,n/a,10.078,n/a,n/a,n/a,7.6,6.377,n/a,5.127,5.127,n/a
3s1,3e,1c4,10.9,9.672,n/a,n/a,10.145,n/a,7.6,6.377,n/a,n/a,n/a,n/a
2so,5ho,1c4,10.5,10.005,n/a,n/a,10.528,10.077,7.733,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.925,4.925,4.405
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.925,4.925,4.405
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.775
