method,gibbs_RMSD
REF,0.0
B3LYP,0.1677
APFD,0.17179
BMK,0.11033
M06L,0.32139
PBEPBE,0.13803
DFTB,1.90524
DFTB3,2.41095
AM1,2.9813
PM3,2.5234
PM3MM,2.52329
PM6,2.16016
