method,gibbs_phys_RMSD,gibbs_RMSD
REF,0.0,0.0
B3LYP,0.0,0.66018
APFD,0.0,0.43384
BMK,0.0,0.26236
M06L,0.0,0.50335
PBEPBE,0.0,0.50884
DFTB,0.0,3.07129
DFTB3,0.0,3.94639
AM1,0.0,3.39595
PM3,0.0,3.68374
PM3MM,0.0,3.66534
PM6,0.0,3.95372
