LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a
1s3,1ho,1c4,0.331,0.267,0.201,1.0,0.253,0.501,0.223,n/a,n/a,n/a,n/a
os2,3e,1c4,0.169,n/a,0.799,n/a,n/a,n/a,0.278,n/a,0.262,0.262,n/a
3s1,3e,1c4,0.169,0.467,n/a,n/a,0.49,n/a,0.278,n/a,n/a,n/a,n/a
2so,5ho,1c4,0.331,0.266,n/a,n/a,0.257,0.499,0.222,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.369,0.369,0.394
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.369,0.369,0.394
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.211
