LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.205,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.205,n/a,n/a,n/a
1s3,1ho,1c4,4.7,4.017,4.853,4.485,4.894,4.094,3.847,n/a,n/a,n/a,n/a,n/a
os2,3e,1c4,5.1,n/a,4.038,n/a,n/a,n/a,3.714,2.689,n/a,1.88,1.88,n/a
3s1,3e,1c4,5.1,3.686,n/a,n/a,4.506,n/a,3.715,2.707,n/a,n/a,n/a,n/a
2so,5ho,1c4,4.7,4.022,n/a,n/a,4.868,4.1,3.85,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.551,1.551,1.825
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.551,1.55,1.825
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.909
