LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,0,0,0,0,0,0,0,0,0.5,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0,0,0.5,0,0,0
1s3,1ho,1c4,0.331,0.267,0.201,1.0,0.253,0.501,0.223,0,0,0,0,0
os2,3e,1c4,0.169,0,0.799,0,0,0,0.278,0.5,0,0.262,0.262,0
3s1,3e,1c4,0.169,0.467,0,0,0.49,0,0.278,0.5,0,0,0,0
2so,5ho,1c4,0.331,0.266,0,0,0.257,0.499,0.222,0,0,0,0,0
5s1,5h4,1c4,0,0,0,0,0,0,0,0,0,0.369,0.369,0.394
1s5,1h2,1c4,0,0,0,0,0,0,0,0,0,0.369,0.369,0.394
3ob,3e,1c4,0,0,0,0,0,0,0,0,0,0,0,0.211
