LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,e1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.868,n/a,n/a,n/a
4c1,e5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.868,n/a,n/a,n/a
4c1,oh1,3s1,10.5,10.002,10.893,10.429,10.535,10.076,7.733,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,10.9,9.671,10.077,n/a,10.143,n/a,7.6,n/a,n/a,5.127,5.127,n/a
4c1,oh5,os2,10.5,10.003,10.894,10.443,10.525,10.077,7.733,n/a,n/a,n/a,n/a,n/a
4c1,e3,2so,10.9,n/a,n/a,n/a,n/a,n/a,7.6,6.359,n/a,n/a,n/a,n/a
4c1,2h1,5s1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.925,4.925,4.405
4c1,4h5,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.925,4.925,4.405
4c1,e3,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.775
