File Name,new_cluster_group,boltzmann_weighting,cluster_group_H298 (Hartrees)
oxane-e3-freeze_pbe-optall_pbe.log,0,1.0,0.0
oxane-2so-freeze_pbe-optall_pbe.log,13,1.0,5.97765073399619
oxane-bo3-freeze_pbe-TS_pbe-ircf-pbe.log,14,1.0,5.981415788022354
oxane-4c1-freeze_pbe-TS_pbe-ircf-pbe.log,18,1.0,6.794039943003852
oxane-b14-freeze_pbe-TS_pbe-ircr-pbe.log,19,1.0,6.78839236201811
oxane-os2-freeze_pbe-optall_pbe.log,23,1.0,5.977023224997774
oxane-o3b-freeze_pbe-optall_pbe.log,24,1.0,5.981415788022354
oxane-3e-freeze_pbe-optall_pbe.log,37,1.0,0.0
