method,gibbs_RMSD
REF,0.0
B3LYP,0.66018
APFD,0.43384
BMK,0.26236
M06L,0.50335
PBEPBE,0.50884
DFTB,3.07129
DFTB3,3.94639
AM1,3.39595
PM3,3.68374
PM3MM,3.66534
PM6,3.95372
