,REFERENCE
4c1,0.00777
e3,0.01556
4h3,0.08241
4e,0.04266
e5,0.09764
e1,0.08579
oh1,0.04312
oh5,0.03718
e1,0.03189
2e,0.1805
25b,0.03038
bo3,0.01984
1s3,0.0265
b14,0.04556
os2,0.04776
os2,0.02354
3s1,0.03076
5s1,0.01333
1s5,0.01933
14b,0.04475
1s5,0.02891
25b,0.04186
5e,0.0332
3h2,0.01776
5h4,0.06111
3h4,0.06691
5e,0.05674
1h2,0.03637
1ho,0.1892
e2,0.0483
1e,0.02661
5ho,0.07221
1c4,0.0158
1c4,0.01916
