REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1_bo3-e3,4c1_1s5(1)-e5,4c1_1s5(1)-4h5,4c1_1s3-4h3,4c1_1s3-4h3,4c1_bo3-4e
4c1_bo3-4h3,4c1_1s5(0)-e5,4c1_1s5(0)-4h5,4c1_1s5(1)-4h5,4c1_1s5(1)-4h5,4c1_3s1(1)-4c1
4c1_1s3-4h3,4c1_b25-oh5,4c1_os2-e5,4c1_1s5(0)-4h5,4c1_1s5(0)-4h5,4c1_os2-4c1
