LM1,TS,LM2,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,0.183,0.099,0.194,0.038,0,0,0
os2,3h2,1c4,0.183,0.099,0.194,0.038,0.011,0.011,0.012
os2,b25,1c4,0.59,0.715,0,0.563,0.404,0.404,0
1s3,eo,1c4,0,0,0,0.001,0,0,0.015
bo3,eo,1c4,0,0,0,0.001,0,0,0.015
1s3,14b,1c4,0,0,0,0,0,0,0.107
1s3,1h2,1c4,0.008,0.012,0.09,0.037,0.017,0.017,0.091
1s3,1ho,1c4,0.0,0.0,0.009,0.002,0.011,0.011,0.079
1s5,1h2,1c4,0.008,0.012,0.09,0.037,0.017,0.017,0.091
1s3,5e,1c4,0.001,0.008,0.043,0.066,0.053,0.053,0.361
bo3,5h4,1c4,0.002,0.002,0,0.041,0.065,0.065,0
25b,5h4,1c4,0.002,0.002,0.046,0.041,0.065,0.065,0
bo3,5e,1c4,0.001,0.008,0.043,0.066,0.053,0.053,0
3s1,3h4,1c4,0.0,0.006,0.065,0.003,0.006,0.006,0.005
25b,5e,1c4,0.001,0.008,0.043,0.066,0.053,0.053,0
bo3,1ho,1c4,0.0,0.0,0,0,0.011,0.011,0
bo3,1h2,1c4,0.008,0.012,0,0,0.017,0.017,0
3s1,5h4,1c4,0.002,0.002,0.046,0,0.065,0.065,0
5s1,5h4,1c4,0.002,0.002,0.046,0,0.065,0.065,0.0
3s1,5e,1c4,0.001,0.008,0,0,0,0,0
1s3,5h4,1c4,0.002,0.002,0.046,0,0,0,0
5s1,5e,1c4,0.001,0,0.043,0,0.053,0.053,0
os2,3h4,1c4,0,0,0,0,0,0,0.005
1s5,1ho,1c4,0,0,0,0,0,0,0
5s1,25b,1c4,0,0,0,0,0,0,0
os2,1h2,1c4,0.008,0,0,0,0.017,0.017,0
3s1,3s1,1c4,0,0,0,0,0.022,0.022,0
bo3,1s3,1c4,0,0,0,0,0,0,0.08
1e,1h2,1c4,0,0,0,0,0,0,0.091
os2,3ob,1c4,0,0,0,0,0,0,0.011
1s5,b25,1c4,0,0,0,0,0,0,0.012
1s5,3h2,1c4,0,0,0,0,0,0,0.012
5s1,3s1,1c4,0,0,0,0,0,0,0.0
1s3,1c4,1c4,0,0,0,0,0,0,0.013
3s1,3ob,1c4,0,0,0,0,0,0,0
