method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,0.97116,0.97116
B3LYP,2.82173,2.8099
DFTB,2.8146,2.80408
AM1,3.92108,3.84231
PM3,4.47152,4.40898
PM3MM,4.4937,4.42348
PM6,4.38465,4.1806
