method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,1.99571,1.99571
DFTB,4.251,4.23449
AM1,6.35416,6.19208
PM3,6.28338,6.39239
PM3MM,6.28395,6.39297
PM6,5.81364,5.38939
