REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1_bo3-e3: 0.437,4c1_1s3-4e: 0.127,4c1_bo3-e3: 0.054,4c1_bo3-4h3: 0.085,4c1_bo3-4h3: 0.085,4c1_1s3-bo3: 0.491
4c1_1s3-e3: 0.437,4c1_14b-4e: 0.127,4c1_bo3-4h3: 0.054,4c1_1s3-4h3: 0.085,4c1_1s3-4h3: 0.085,4c1_14b-bo3: 0.491
,4c1_bo3-4e: 0.127,4c1_1s3-4h3: 0.054,4c1_1s3-4e: 0.085,4c1_1s3-4e: 0.085,
,,4c1_14b-4h3: 0.054,4c1_14b-4e: 0.054,4c1_14b-4e: 0.054,
,,4c1_1s5(1)-4h3: 0.054,4c1_bo3-4e: 0.054,4c1_bo3-4e: 0.054,
,,4c1_1s3-e3: 0.054,4c1_14b-4h3: 0.054,4c1_14b-4h3: 0.054,
,,,4c1_1s5(1)-4h3: 0.054,4c1_1s5(1)-4h3: 0.054,
