method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.04255,0.04255
B3LYP,0.06164,0.0735
DFTB,0.07916,0.08061
AM1,0.10857,0.11875
PM3,0.12134,0.12847
PM3MM,0.12134,0.12847
PM6,0.23139,0.23038
