method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.03551,0.03551
DFTB,0.03928,0.05491
AM1,0.05024,0.06836
PM3,0.05019,0.07383
PM3MM,0.05508,0.08118
PM6,0.08011,0.09988
