,REFERENCE
4c1,0.10123
e3,2.25595
4h3,2.45023
4e,0.0
e5,1.80543
e1,1.48415
oh1,1.39415
oh5,1.71488
e1,1.10615
2e,0.75622
25b,2.13346
bo3,0.86803
1s3,1.53649
b14,1.03322
os2,2.90962
os2,0.75502
3s1,0.90912
5s1,1.03236
1s5,0.61209
14b,1.25989
1s5,0.32317
25b,0.80797
5e,1.65742
3h2,1.93632
5h4,0.90359
3h4,0.1712
5e,1.55226
1h2,0.522
1ho,2.39649
e2,0.36598
1e,1.45816
5ho,0.39623
1c4,0.5736
1c4,0.14503
