LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,3h2,1c4,0.525,0.983,-0.073,0.367,n/a,n/a,n/a
os2,3h2,1c4,-0.522,0.748,-1.323,-0.028,-0.758,-0.793,2.707
os2,b25,1c4,-0.522,0.748,n/a,-0.028,-0.758,-0.793,n/a
1s3,eo,1c4,n/a,n/a,n/a,-0.589,n/a,n/a,1.33
bo3,eo,1c4,n/a,n/a,n/a,-0.036,n/a,n/a,1.179
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.33
1s3,1h2,1c4,-1.649,-1.355,-0.604,-0.589,-1.019,-1.028,1.33
1s3,1ho,1c4,-1.649,-1.355,-0.604,-0.589,-1.019,-1.028,1.33
1s5,1h2,1c4,-0.127,0.634,0.21,-0.102,0.231,-0.391,1.66
1s3,5e,1c4,-1.649,-1.355,-0.604,-0.589,-1.019,-1.028,1.33
bo3,5h4,1c4,-2.21,-2.372,n/a,-0.036,-0.392,-0.432,n/a
25b,5h4,1c4,5.999,3.559,3.344,0.067,-0.698,-0.724,n/a
bo3,5e,1c4,-2.21,-2.372,0.638,-0.036,-0.392,-0.432,n/a
3s1,3h4,1c4,0.525,0.983,-0.073,0.367,-0.014,-0.043,3.068
25b,5e,1c4,5.999,3.559,3.344,0.067,-0.698,-0.724,n/a
bo3,1ho,1c4,-2.21,-2.372,n/a,n/a,-0.392,-0.432,n/a
bo3,1h2,1c4,-2.21,-2.372,n/a,n/a,-0.392,-0.432,n/a
3s1,5h4,1c4,0.525,0.983,-0.073,n/a,-0.014,-0.043,n/a
5s1,5h4,1c4,2.473,2.489,1.332,n/a,0.837,0.807,5.397
3s1,5e,1c4,0.525,0.983,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,-1.649,-1.355,-0.604,n/a,n/a,n/a,n/a
5s1,5e,1c4,2.473,n/a,1.332,n/a,0.837,0.807,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.707
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,-0.522,n/a,n/a,n/a,-0.758,-0.793,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,-0.014,-0.043,n/a
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.179
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.108
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,2.707
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.66
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.66
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,5.397
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,1.33
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a
