,REFERENCE
4c1,0.48027534337791616
e3,7.198556336253748
4h3,8.947352680430493
4e,12.299999691807999
e5,13.202697754035517
e1,12.95590287266165
oh1,14.305493821578564
oh5,14.655025821895986
e1,13.629372015529999
2e,13.939710640087217
25b,12.41282697304196
bo3,5.621536536454658
1s3,6.523690343662843
b14,8.592275290169571
os2,6.859810447442985
os2,7.316971297498078
3s1,8.10616190878634
5s1,10.145811138003667
1s5,7.323123212554474
14b,8.384811475466021
1s5,7.6961480973470575
25b,13.498244861136577
5e,13.945352341934932
3h2,10.821057141344331
5h4,13.55645078968313
3h4,14.407446532965716
5e,15.305880719541946
1h2,12.68054599987677
1ho,16.910869635233325
e2,13.308388818764566
1e,15.688887630145246
5ho,18.764252942596098
1c4,7.770146280704048
1c4,7.679711615212396
