LM1,TS,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
4c1,4h5,1s5,7.067,7.827,3.544,0.981,2.258,1.666,n/a
4c1,oh5,1s5,7.067,7.827,3.544,0.981,n/a,n/a,n/a
4c1,4h5,os2,6.672,7.94,n/a,1.055,1.27,1.264,n/a
4c1,4h3,bo3,4.984,4.821,n/a,1.047,1.636,1.625,-2.923
4c1,e3,bo3,4.984,4.821,3.972,1.047,1.636,1.625,-2.923
4c1,4h5,bo3,n/a,n/a,n/a,1.047,n/a,n/a,n/a
4c1,oh1,5s1,9.667,9.681,n/a,3.785,2.864,2.864,n/a
4c1,2h1,5s1,9.667,9.681,n/a,3.785,2.864,2.864,n/a
4c1,oh5,os2,6.672,7.94,2.011,1.055,1.27,1.264,-1.394
4c1,oh1,3s1,7.719,8.176,3.261,1.449,2.014,2.014,n/a
4c1,oh1,os2,6.672,7.94,n/a,1.055,1.27,1.264,n/a
4c1,4h3,1s3,5.545,5.838,2.73,0.494,1.009,1.029,n/a
4c1,4e,1s3,5.545,5.838,2.73,0.494,1.009,1.029,n/a
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,-2.923
4c1,b25,os2,6.672,7.94,n/a,n/a,1.27,1.264,n/a
4c1,3ob,1s5,7.067,7.827,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,7.719,8.176,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,7.719,8.176,3.261,n/a,2.014,2.014,n/a
4c1,3ob,3s1,7.719,8.176,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,9.667,9.681,n/a,n/a,2.864,2.864,n/a
4c1,3ob,os2,6.672,7.94,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,5.545,5.838,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,8.176,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,7.067,7.827,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,7.067,7.827,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,1.33,1.333,n/a
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,2.014,2.014,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,2.014,2.014,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,-2.771
4c1,oh1,25b,n/a,n/a,n/a,n/a,1.33,1.333,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,3.531,3.531,n/a
4c1,2h1,bo3,4.984,n/a,n/a,n/a,n/a,n/a,-2.923
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,4.984,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,5.545,n/a,n/a,n/a,n/a,n/a,n/a
