REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1_2so-e3: 0.696,4c1_2so-e3: 0.776,4c1_2so-e3: 0.581,4c1_3ob-oe: 0.172,4c1_2so-4h3: 0.143,4c1_2so-4e: 0.138,4c1_2so-4e: 0.138,4c1_3s1-os2: 0.172
,4c1_25b-2h3: 0.058,4c1_25b-2h3: 0.071,4c1_os2-oh5: 0.172,4c1_2so-e3: 0.143,4c1_1s3-4e: 0.138,4c1_1s3-4e: 0.138,4c1_3ob-os2: 0.172
,4c1_5s1-2h3: 0.058,4c1_5s1-2h3: 0.071,4c1_3ob-oh5: 0.172,4c1_1s3-4h3: 0.143,4c1_1s5-4h5: 0.069,4c1_1s5-4h5: 0.069,4c1_os2-os2: 0.172
,4c1_2so-2h3: 0.058,4c1_2so-2h3: 0.071,4c1_3s1-oe: 0.109,4c1_3s1-os2: 0.143,4c1_os2-4h5: 0.069,4c1_os2-4h5: 0.069,4c1_1s5-os2: 0.172
,,,4c1_3s1-oh5: 0.109,4c1_3ob-os2: 0.109,4c1_os2-b25: 0.069,4c1_os2-b25: 0.069,
,,,4c1_1s5-oh5: 0.109,4c1_os2-os2: 0.067,4c1_b25-4h5: 0.069,4c1_b25-4h5: 0.069,
,,,4c1_25b-oe: 0.109,4c1_1s5-os2: 0.067,4c1_3ob-4h5: 0.069,4c1_3ob-4h5: 0.069,
,,,,4c1_os2-b25: 0.067,4c1_14b-4h5: 0.051,4c1_14b-4h5: 0.051,
