REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1_2so: 0.963,4c1_2so: 0.956,4c1_2so: 0.879,4c1_3ob: 0.221,4c1_3ob: 0.325,4c1_3ob: 0.228,4c1_3ob: 0.23,4c1_3ob: 0.487
,,4c1_1s3: 0.065,4c1_2so: 0.219,4c1_2so: 0.309,4c1_2so: 0.216,4c1_2so: 0.185,4c1_os2: 0.185
,,,4c1_os2: 0.185,4c1_25b: 0.184,4c1_25b: 0.178,4c1_25b: 0.17,4c1_1s3: 0.148
,,,4c1_1s3: 0.129,4c1_1s3: 0.064,4c1_3s1: 0.155,4c1_3s1: 0.165,4c1_b25: 0.063
,,,4c1_1s5: 0.098,4c1_14b: 0.057,4c1_5s1: 0.152,4c1_5s1: 0.162,4c1_14b: 0.055
,,,4c1_3s1: 0.051,,,,
