1c4,180,180,0.57
3h2,330,129,0.42
oh5,330,51,0.42
os2,330,88,0.62
b25,300,90,0.76
e2,300,125,0.45
e5,300,55,0.45
1h2,270,129,0.42
4h5,270,51,0.42
1s5,270,88,0.62
14b,240,90,0.76
1e,240,125,0.45
4e,240,55,0.45
4h3,210,51,0.42
1ho,210,129,0.42
1s3,210,88,0.62
4c1,180,0,0.57
bo3,180,90,0.76
e3,180,55,0.45
eo,180,125,0.45
2h3,150,51,0.42
5ho,150,129,0.42
2so,150,92,0.62
25b,120,90,0.76
2e,120,55,0.45
5e,120,125,0.45
2h1,90,51,0.42
5h4,90,129,0.42
5s1,90,92,0.62
b14,60,90,0.76
e1,60,55,0.45
e4,60,125,0.45
3h4,30,129,0.42
oh1,30,51,0.42
3s1,30,92,0.62
3ob,0,90,0.76
oe,0,55,0.45
3e,0,125,0.45
