File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose168-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75124868,2.8945,0.19001,-34.547701,-34.599822,27.68,70.3441,222.913175,89.43450413,0.730368243,1s3,-24.52730635,-100.0913496,N/A,N/A,59.28890188,-80.74234565,1.465578149,1.528042106,1.526577302,1.524479293,1.526284799,1.475653132,1.431403745,1.448855007,1.444084824,1.455925191,1.440466782,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose221-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75713482,5.0218,0.189979,-34.553572,-34.605808,28.8109,63.6374,350.1357246,87.80770492,0.769130685,o3b,62.48361204,-58.24926084,N/A,N/A,-174.1706363,-110.5724799,1.473181418,1.52710678,1.529959819,1.531655123,1.538888894,1.476895243,1.417988575,1.45819461,1.445633863,1.449491795,1.434628154,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose127-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75361678,4.7335,0.189863,-34.550074,-34.60177,54.3424,99.7673,79.3929677,87.56661264,0.718629807,5s1,-164.4014983,40.04407995,N/A,N/A,-161.0182794,179.8936728,1.459331691,1.519392564,1.52779313,1.528581309,1.52136596,1.480707292,1.430020772,1.447482807,1.453449385,1.449484057,1.435164773,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose171-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75572731,4.5003,0.189769,-34.552509,-34.604361,28.714,89.5918,204.1949109,87.83670987,0.769006225,1s3,-6.933796968,131.3418406,N/A,N/A,55.33536168,-97.47129103,1.46762606,1.53162237,1.524740827,1.521296272,1.526002691,1.478684715,1.426673859,1.449751967,1.447999509,1.44372935,1.441392763,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose157-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75432126,1.9899,0.189854,-34.55072,-34.603127,50.7505,61.1158,277.988675,88.43066422,0.753041157,1s5,61.95190756,-56.9102117,N/A,N/A,101.388295,-60.90264076,1.474948145,1.518800971,1.523990482,1.530028684,1.525802345,1.473887546,1.43088293,1.447807714,1.454883136,1.44752139,1.436012928,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose163-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75603077,5.59,0.190774,-34.552383,-34.601711,96.6683,123.0838,275.106774,174.8425619,0.515284706,1c4,-28.057156,154.666207,N/A,N/A,66.62269269,-66.85975566,1.446775722,1.521355273,1.521919998,1.532273708,1.531462162,1.475566935,1.443131703,1.453475169,1.449874436,1.447953118,1.440748124,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose189-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75608214,3.1093,0.189335,-34.552843,-34.605879,25.2954,82.1407,317.6997949,87.23763625,0.742715948,os2,-57.10388266,176.2776828,N/A,N/A,142.3188281,-80.11296963,1.46518944,1.520030421,1.524536506,1.542818408,1.523470275,1.475819754,1.435689861,1.446567286,1.447233447,1.448294825,1.434435284,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose149-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.7570864,3.3867,0.189762,-34.55404,-34.604957,47.8771,83.6549,15.17880972,88.5918732,0.740093936,3s1,48.77332107,-73.07025703,N/A,N/A,-174.7707777,-135.7393308,1.467892577,1.525362421,1.535224195,1.521667174,1.542928227,1.471275097,1.417928435,1.459214398,1.442722556,1.450954004,1.441592347,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose146-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75904336,6.1281,0.190859,-34.555399,-34.604528,95.049,128.969,279.5453889,173.8933086,0.51475654,1c4,-24.98213846,151.8864693,N/A,N/A,67.1081681,-66.76515731,1.454616385,1.521595854,1.522196144,1.531379314,1.530902314,1.480551406,1.439686,1.452870816,1.448345953,1.447381596,1.444903401,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose137-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75748101,2.2383,0.188619,-34.554729,-34.60777,63.1372,72.6276,45.88771468,2.945968018,0.578182002,4c1,68.07771489,-53.33470485,N/A,N/A,-179.500285,176.0597145,1.457344016,1.52134456,1.520030243,1.522787406,1.524273141,1.470582623,1.425282607,1.449533709,1.447328964,1.447413651,1.432562668,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose124-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75347859,4.809,0.189647,-34.549899,-34.602585,44.8034,79.5637,158.6231699,86.75882257,0.73112878,2so,-173.7211198,61.38726782,N/A,N/A,84.92325332,145.6151594,1.460155937,1.523883488,1.519997943,1.523803392,1.531019398,1.477603404,1.438987789,1.452529178,1.445532218,1.447044352,1.434174961,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose188-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75488173,4.6803,0.189283,-34.55161,-34.604899,25.4441,75.8584,324.1147768,88.29416332,0.762097975,os2,58.23832383,-60.48181917,N/A,N/A,-150.6150444,-84.62141909,1.479424565,1.527870443,1.521284529,1.530648133,1.532612742,1.466063568,1.420279583,1.448236712,1.450204545,1.449596515,1.43540999,N/A,N/A,N/A,N/A,N/A,N/A
