pathway,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1_3s1_1-oh1_0,1,1,1,1,1,0
4c1_3s1_1-oh1_1,1,1,1,1,1,0
4c1_3s1_0-oh1_1,1,1,1,1,1,0
1s5_1_os2-b25,1,1,1,0,0,0
1s5_1_os2-os2,1,0,1,0,0,1
1s5_0_os2-b25,0,0,1,0,0,0
4c1_1s3-4h3,1,1,1,1,1,0
bo3_1s5_1-4h5,0,0,1,0,0,0
bo3_1s5_0-4h5,0,0,1,0,0,0
1s3_1s5_1-1s5,0,0,1,0,0,1
1s3_1s5_1-14b,0,1,1,1,1,1
14b_1s5_1-1s5,0,0,1,0,0,0
14b_1s5_1-14b,1,1,1,0,0,0
1s3_1s5_0-1s5,0,0,1,0,0,0
1s3_1s5_0-14b,0,1,1,1,1,0
1s5_0_14b-1s5,0,0,1,0,0,0
1s5_0_14b-14b,1,1,1,0,0,0
bo3_1s5_1-1s5,0,0,1,0,0,0
bo3_1s5_1-14b,1,0,1,0,0,0
bo3_1s5_0-1s5,0,0,1,0,0,0
bo3_1s5_0-14b,1,0,1,0,0,0
bo3_1c4-5ho,1,1,1,1,1,0
4c1_1s3-4e,0,1,1,1,1,0
4c1_14b-4e,1,1,1,0,0,0
4c1_bo3-4e,0,0,1,0,0,1
os2_1c4-3ob,0,0,1,0,0,1
3s1_1_1c4-3h4,1,1,1,1,1,1
3s1_1_1c4-3ob,0,0,1,0,0,1
3s1_1_25b-b14,0,0,1,0,0,0
14b_1h2-1h2,0,0,1,0,0,0
14b_1h2-1e,0,0,1,0,0,0
1s3_1h2-1h2,0,0,1,0,0,0
1s3_1h2-1e,0,0,1,0,0,0
4c1_14b-4h3,1,1,1,0,0,0
1s5_1_1c4-1e,1,1,1,1,1,0
bo3_5s1-2h1,0,0,1,0,0,0
1s3_5s1-2h1,0,0,1,0,0,0
1s3_5s1-25b,1,1,1,0,0,0
bo3_5s1-2so,0,0,1,0,0,0
bo3_5e-2so,0,0,1,0,0,1
bo3_14b-bo3,1,1,1,0,0,0
bo3_25b-2so,1,0,1,0,0,0
bo3_5h4-2so,0,0,1,0,0,0
1s3_1c4-5e,1,1,1,0,0,0
1s5_0_1c4-1e,1,1,0,1,1,1
