group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/oe,0.0,0.00057,0.05019,0.05714,0.97192,0.97192,0
0_1-1,oh1/e1,0.00828,0.01233,0,0,0.03753,0.03753,0
0_1-2,oe/oh1,0.0,0.0012,0,0.03119,0.04098,0,0
0_2-0,oh1/e1,0.00553,0.00569,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,e1/oh1,0.00042,0.00053,0,0.04684,0.3685,0.3685,0
0_3-1,2h3/2e,0.0,0.00035,0,0,0,0,0
0_4-0,e3,0.0,0.00032,0,0,0,0,0
0_4-1,4h3/e3,0.00506,0.00806,0.40971,0.13467,0.28827,0.28827,0.33095
0_4-2,2h3/2e,0.0,4e-05,0,2.52734,0.16755,0.16755,2.6391
0_6-0,e5/4h5,0.00609,0.00518,0.14509,0.01469,0.01526,0.01526,0.27572
0_7-0,oh5/os2,0.0,0.00114,0.01804,0.27204,0.27239,0.27239,0
1_6-0,b25,4e-05,0.00017,0,0,0,0,0
1_6-1,os2/b25,0.00012,0.00038,0,0,0,0,0.09649
1_7-0,3ob,0.0,3e-05,0.01935,0,0,0,0
1_8-0,3h2/3e,0.00082,0.00063,0.02391,0.00637,0,0,0.035
1_8-1,3h4/e4,0.0,0.00022,0.0192,0,0,0.13022,0.68386
2_3-0,b14,0.0,0.0001,0,0,0.01957,0.01957,0
2_7-0,3ob,0.0,8e-05,0,0,0,0,0
3_4-0,25b/2so,0.0,0,0.13874,0,0,0,0
3_8-0,5e,0.00032,1.03341,0.06575,0.01428,0.04704,0.02933,0
4_5-0,bo3,0.0,0.00213,0,0,0,0,0
4_6-0,14b,0.00392,0.00498,0,0.02291,0.02662,0.02662,0.32423
4_7-0,14b,0.0,0,0,0.27136,0,0,4.8375
4_8-0,5ho,0.00084,0.0078,0.02247,0.02482,0.01201,0.01201,0
4_8-1,3h4/3s1,0.00592,0,0,0,0,0,0
4_8-2,5e,0.00217,0.00237,0,0.06533,0.01017,0.01017,0.05864
5_6-0,14b,0.0,0.00991,0.02863,0.10037,0.04164,0.04164,0.08601
5_7-0,14b,0.0,5e-05,0,0,0,0,0
5_8-0,1e/1ho,0.00121,0.00209,0.00863,0,0,0,0.44139
5_8-1,5e/5ho,0.0,0,0.21297,0.14448,0,0,0.22192
6_7-0,b25/1s5,0.0,0.02443,0,0.06198,0,0,0
6_8-0,1h2/e2,0.0,3e-05,0,0.01703,0,0,0.08227
6_8-1,1h2/1e,0.00323,0.00475,0.01574,0.01308,0.01381,0.01381,0.33985
6_8-2,1e/1ho,0.0,0,0.01365,0,0,0,0
7_8-0,3h2/e2,0.00043,0.0039,0.00601,0.0209,0.08053,0.08117,0
