group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_3-0,e3,0.0,0,12.80621,0,0,0,0
0_5-0,oh5/oe,0.0,0.30268,16.88438,0,0,0,0
0_6-0,oh1/oe,0.0,0.31243,16.92809,0,0,0,0
1_3-0,25b,0.0,0.28051,31.16529,20.23198,16.80614,16.80614,19.23413
1_6-0,b14,0.0,0.28585,20.82679,20.23198,16.80614,16.80614,19.23413
2_4-0,14b,0.0,0.28585,20.81869,20.23198,16.80614,16.80614,19.23413
2_5-0,b25,0.0,0.28051,20.81867,20.23198,16.80614,16.80614,19.23413
3_4-0,bo3,0.0,0.00376,5.35512,13.24989,0,11.26125,13.71066
3_7-0,5ho/eo,0.0,0.29582,16.92074,0,0,0,0
4_7-0,1ho/eo,0.0,0.31313,25.46376,0,0,0,0
5_6-0,3ob,0.0,0.00376,5.36384,13.24989,0,0,13.71066
6_7-0,3e,0.0,1.42124,12.70312,0,0,0,0
