group,pucker,method
0_4-11,e3,B3LYP
0_4-16,4h3/e3,DFTB
5_7-19,3h2/3e,DFTB
0_1-0,e1,AM1
0_2-2,e5,AM1
2_7-7,1e,AM1
1_7-9,5e,AM1
0_4-0,e3,PM3
1_7-4,5h4/e4,PM3
0_1-5,2h1/2e,PM3
0_2-6,4h5/4e,PM3
2_7-7,1h2/e2,PM3
5_7-9,3e,PM3
1_7-4,5h4/e4,PM3MM
5_7-5,3e,PM3MM
2_7-6,1h2/e2,PM3MM
0_2-8,4h5/4e,PM3MM
0_1-9,2h1/2e,PM3MM
0_4-10,e3,PM3MM
0_4-0,e3,PM6
0_2-3,4h5/e5,PM6
0_1-6,2h1/e1,PM6
2_7-8,1h2/1e,PM6
1_7-10,5h4/5e,PM6
5_7-11,3e,PM6
