tolerance,num_comp_paths,accuracy
0,36,0.48
0.02,27,0.36
0.04,26,0.347
0.06,25,0.333
0.08,24,0.32
0.1,23,0.307
0.12000000000000001,23,0.307
0.14,22,0.293
0.16,22,0.293
0.18,22,0.293
0.19999999999999998,22,0.293
0.21999999999999997,21,0.28
0.23999999999999996,19,0.253
0.25999999999999995,19,0.253
0.27999999999999997,17,0.227
0.3,17,0.227
0.32,16,0.213
0.34,14,0.187
0.36000000000000004,13,0.173
0.38000000000000006,12,0.16
0.4000000000000001,12,0.16
0.4200000000000001,12,0.16
0.4400000000000001,11,0.147
0.46000000000000013,11,0.147
0.48000000000000015,10,0.133
0.5000000000000001,10,0.133
0.5200000000000001,10,0.133
0.5400000000000001,10,0.133
0.5600000000000002,10,0.133
0.5800000000000002,10,0.133
0.6000000000000002,10,0.133
0.6200000000000002,10,0.133
0.6400000000000002,10,0.133
0.6600000000000003,10,0.133
0.6800000000000003,10,0.133
0.7000000000000003,10,0.133
0.7200000000000003,10,0.133
0.7400000000000003,10,0.133
0.7600000000000003,10,0.133
0.7800000000000004,10,0.133
0.8000000000000004,10,0.133
0.8200000000000004,10,0.133
0.8400000000000004,10,0.133
0.8600000000000004,10,0.133
0.8800000000000004,10,0.133
0.9000000000000005,10,0.133
0.9200000000000005,10,0.133
0.9400000000000005,10,0.133
0.9600000000000005,10,0.133
0.9800000000000005,10,0.133
