phi,theta
0,55
0,125
35.35,85.25
30,51
30,129
60,55
60,125
81.5,85.4
90,51
90,129
116.1,100.4
120,55
120,125
150,51
150,129
168.5,79.1
180,0
180,55
180,125
180,180
215.15,84.6
210,51
210,129
240,55
240,125
263.15,86.9
270,51
270,129
300,55
300,125
325.15,89.65
330,51
330,129
