phi,theta
18.4,116.3
27.5,64.2
30,92
60,90
72.5,64.4
86.3,110.45
104,85.6
130.2,121.8333
120,55
170.3,55.9
180,0
180,125
180,180
182.8,78
195.9,54.1
201.9,81.6
223.8,125.3
238,56.8
249.8,93.6
258.6,126.55
270,88
285.5,62.5
313.75,91.45
321.7,120.975
336.8,65.2
3.6,89
