tolerance,num_comp_paths,accuracy
0,15,0.429
0.02,15,0.429
0.04,15,0.429
0.06,15,0.429
0.08,15,0.429
0.1,15,0.429
0.12000000000000001,15,0.429
0.14,15,0.429
0.16,14,0.4
0.18,14,0.4
0.19999999999999998,14,0.4
0.21999999999999997,13,0.371
0.23999999999999996,13,0.371
0.25999999999999995,13,0.371
0.27999999999999997,13,0.371
0.3,13,0.371
0.32,13,0.371
0.34,13,0.371
0.36000000000000004,13,0.371
0.38000000000000006,12,0.343
0.4000000000000001,11,0.314
0.4200000000000001,10,0.286
0.4400000000000001,10,0.286
0.46000000000000013,10,0.286
0.48000000000000015,9,0.257
0.5000000000000001,9,0.257
0.5200000000000001,9,0.257
0.5400000000000001,8,0.229
0.5600000000000002,8,0.229
0.5800000000000002,8,0.229
0.6000000000000002,8,0.229
0.6200000000000002,8,0.229
0.6400000000000002,8,0.229
0.6600000000000003,8,0.229
0.6800000000000003,8,0.229
0.7000000000000003,8,0.229
0.7200000000000003,8,0.229
0.7400000000000003,8,0.229
0.7600000000000003,8,0.229
0.7800000000000004,8,0.229
0.8000000000000004,8,0.229
0.8200000000000004,8,0.229
0.8400000000000004,8,0.229
0.8600000000000004,8,0.229
0.8800000000000004,8,0.229
0.9000000000000005,8,0.229
0.9200000000000005,8,0.229
0.9400000000000005,8,0.229
0.9600000000000005,8,0.229
0.9800000000000005,8,0.229
