REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,AM1,PM3,PM3MM,PM6
4c1_3s1: 0.229,4c1_5s1: 0.213,4c1_5s1: 0.216,4c1_5s1: 0.236,4c1_5s1: 0.218,4c1_5s1: 0.219,4c1_5s1: 0.175,4c1_5s1: 0.198,4c1_5s1: 0.198,4c1_5s1: 0.172
4c1_1s3: 0.229,4c1_1s5: 0.212,4c1_1s5: 0.216,4c1_1s5: 0.22,4c1_1s5: 0.216,4c1_1s5: 0.219,4c1_1s5: 0.175,4c1_1s5: 0.198,4c1_1s5: 0.198,4c1_1s5: 0.172
4c1_os2: 0.229,4c1_3s1: 0.211,4c1_3s1: 0.216,4c1_3s1: 0.212,4c1_3s1: 0.2,4c1_3s1: 0.216,4c1_3s1: 0.175,4c1_3s1: 0.198,4c1_3s1: 0.198,4c1_3s1: 0.171
4c1_2so: 0.229,4c1_1s3: 0.211,4c1_1s3: 0.215,4c1_1s3: 0.212,4c1_1s3: 0.2,4c1_1s3: 0.216,4c1_1s3: 0.175,4c1_1s3: 0.197,4c1_1s3: 0.197,4c1_1s3: 0.171
,4c1_os2: 0.076,4c1_os2: 0.069,4c1_os2: 0.06,4c1_os2: 0.083,4c1_os2: 0.066,4c1_os2: 0.149,4c1_os2: 0.104,4c1_os2: 0.105,4c1_os2: 0.171
,4c1_2so: 0.076,4c1_2so: 0.069,4c1_2so: 0.06,4c1_2so: 0.083,4c1_2so: 0.064,4c1_2so: 0.149,4c1_2so: 0.104,4c1_2so: 0.105,4c1_bo3: 0.071
,,,,,,,,,4c1_2so: 0.071
