,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,AM1,PM3,PM3MM,PM6
4c1,,,,,,,,,,
4h5,,,,,,,,0.0,0.0,0.0
2h3,,,,,,,,,,
2h1,,,,,,,,0.0,0.0,0.0
4h3,,,,,,,,,,
2e,,,,,,,,,,
e1,,,,,,,0.0,,,
oe,,,,,,,,,,
e5,,,,,,,0.0,,,
4e,,,,,,,,,,
e3,0.0,1.19216,0.79369,0.64999,0.70396,0.83072,7.54004,6.51595,6.5172,6.43374
oh5,0.0,0.55016,0.37352,0.0507,0.07642,0.60351,,,,
oh1,0.0,0.55895,0.3798,0.02121,0.03808,0.61292,,,,
1s5,,,,,,,,,,
1s3,,,,,,,,,,
os2,,,,,,,,,,
bo3,0.0,0.06132,0.1495,0.05666,0.13416,0.07893,3.64004,,3.35578,3.70279
25b,0.0,0.52963,0.26106,0.22592,0.67835,0.40036,4.498,4.09953,4.09953,4.38567
14b,0.0,0.53465,0.25791,0.16568,0.63882,0.39597,4.498,4.09953,4.09953,4.38567
b14,0.0,0.53465,0.25917,0.16441,0.64509,0.39723,4.498,4.09953,4.09953,4.38567
b25,0.0,0.52963,0.26357,0.21649,0.67333,0.3966,4.498,4.09953,4.09953,4.38567
3ob,0.0,0.06132,0.1495,0.05788,0.13353,0.07893,3.64004,,,3.70279
3s1,,,,,,,,,,
2so,,,,,,,,,,
5s1,,,,,,,,,,
1ho,0.0,0.55958,0.37917,0.02429,0.03808,0.61103,,,,
5ho,0.0,0.54389,0.38231,0.03619,0.07765,0.60538,,,,
3e,0.0,1.19216,0.79369,0.64999,0.70396,0.83072,7.54004,6.5172,6.5172,6.43374
e4,,,,,,,,,,
5e,,,,,,,0.0,,,
1e,,,,,,,0.0,,,
e2,,,,,,,,,,
eo,,,,,,,,,,
1h2,,,,,,,,0.0,0.0,0.0
3h2,,,,,,,,,,
3h4,,,,,,,,,,
5h4,,,,,,,,0.0,0.0,0.0
1c4,,,,,,,,,,
