,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6
4c1,4.978082191780821,1.6602739726027398,1.0,1.36986301369863,1.2246575342465753,2.032876712328767,9.750684931506848,9.813698630136985,5.5917808219178085
2h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oh1,n/a,0.7733950166382598,1.0,0.7989611232854477,1.0422043665286909,1.4132781430078727,n/a,n/a,n/a
oh5,n/a,0.778194263363755,1.0,0.8045958279009127,1.0914276401564538,1.4254400260756193,n/a,n/a,n/a
e3,n/a,0.9295349944453262,1.0,n/a,0.848754166005396,n/a,0.13283605776860818,0.13283605776860818,0.07094112045707031
1s3,1.3419999999999999,0.774,1.0,2.78,0.5479999999999999,3.794,15.601999999999999,13.245999999999999,n/a
1s5,0.7072784810126582,1.0,1.0,1.0617088607594936,1.0,1.4145569620253164,0.7072784810126582,0.7072784810126582,0.7072784810126582
bo3,5.572784810126582,4.360759493670886,1.0,4.360759493670886,0.0,0.0,n/a,12.41772151898734,30.740506329113924
os2,1.9224924012158056,1.2933130699088147,1.0,2.4817629179331306,0.6793313069908815,2.2370820668693012,11.908814589665653,12.693009118541033,n/a
25b,1.7438758185787049,1.0543293718166384,1.0,0.7193790928935241,n/a,1.0,1.1581372786805724,1.1581372786805724,4.184089255396556
b14,1.7455736114479747,1.014552510308028,1.0,0.7193790928935241,0.2544263885520252,0.973077855930148,1.1581372786805724,1.1581372786805724,4.185544506427359
14b,1.7472714043172448,1.0116420082464224,1.0,0.7193790928935241,0.26558331312151345,n/a,1.1554693184574338,1.1554693184574338,4.18627213194276
b25,1.7438758185787049,1.014552510308028,1.0,0.7475139461557118,0.2869269949066214,0.9822944457918991,1.1581372786805724,1.1581372786805724,4.184816880911957
3ob,5.572784810126582,4.360759493670886,1.0,4.360759493670886,0.0,0.0,n/a,n/a,32.78481012658228
2so,1.8539176626826028,1.7569721115537849,1.0,2.8791500664010625,0.8911022576361222,2.086321381142098,15.205843293492697,10.640106241699867,n/a
5s1,0.7072784810126582,1.0,1.0,1.0617088607594936,1.4145569620253164,1.0,0.7072784810126582,0.7072784810126582,0.7072784810126582
3s1,1.484,0.894,1.0,2.876,0.5479999999999999,3.1419999999999995,21.982,21.864,n/a
3e,n/a,0.9295349944453262,1.0,n/a,0.848754166005396,n/a,0.13283605776860818,0.13283605776860818,0.07094112045707031
1ho,n/a,0.7728931786844027,1.0,0.7984426960824074,1.040960337415849,1.413253305215346,n/a,n/a,n/a
5ho,n/a,n/a,1.0,n/a,1.0940247476392055,1.4216867469879517,n/a,n/a,n/a
eo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1c4,5.013698630136986,2.1232876712328768,1.0,2.1232876712328768,1.2246575342465753,1.936986301369863,9.775342465753425,9.802739726027397,5.638356164383562
