method,arc_WRMSD
REFERENCE,0.0
B3LYP,0.00483
APFD,0.00894
BMK,0.01732
M06L,0.00296
PBEPBE,0.01764
DFTB,0.00569
AM1,0.01612
PM3,0.08301
PM3MM,0.08302
PM6,0.19312
