method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,0.0,0.0
B3LYP,0.0,0.18705
APFD,0.0,0.25626
BMK,0.0,0.18374
M06L,0.0,0.24118
PBEPBE,0.0,0.17082
DFTB,0.0,1.88696
AM1,0.0,3.10403
PM3,0.0,2.90075
PM3MM,0.0,2.9005
PM6,0.0,2.74608
