LM1,TS,LM2,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,0,0,0,0,0,0,0,0.5,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0,0.5,0,0,0
1s3,1ho,1c4,0.312,0.268,0.186,1.0,0.255,0.502,0.177,0,0,0,0
os2,3e,1c4,0.188,0,0.814,0,0,0,0.324,0,0.455,0.455,0
3s1,3e,1c4,0.188,0.47,0,0,0.473,0,0.324,0,0,0,0
2so,5ho,1c4,0.312,0.261,0,0,0.272,0.498,0.175,0,0,0,0
5s1,5h4,1c4,0,0,0,0,0,0,0,0,0.273,0.273,0.273
1s5,1h2,1c4,0,0,0,0,0,0,0,0,0.273,0.273,0.273
3ob,3e,1c4,0,0,0,0,0,0,0,0,0,0,0.454
