method,gibbs_RMSD
AM1,3.63868
APFD,0.33399
B3LYP,0.00253
BMK,0.23835
M06L,0.28008
PBEPBE,0.06481
PM3,3.42631
PM3MM,3.42096
PM6,3.98129
