tolerance,num_comp_lm,accuracy
0,9,1.286
0.02,9,1.5
0.04,9,1.5
0.06,9,1.5
0.08,9,1.5
0.1,9,1.5
0.12000000000000001,9,1.5
0.14,9,1.5
0.16,9,1.5
0.18,9,1.8
0.19999999999999998,9,1.8
0.21999999999999997,9,1.8
0.23999999999999996,9,1.8
0.25999999999999995,9,1.8
0.27999999999999997,9,1.8
0.3,9,1.8
0.32,9,1.8
0.34,9,1.8
0.36000000000000004,9,2.25
0.38000000000000006,9,2.25
0.4000000000000001,9,2.25
0.4200000000000001,9,2.25
0.4400000000000001,9,2.25
0.46000000000000013,9,2.25
0.48000000000000015,9,2.25
0.5000000000000001,9,2.25
0.5200000000000001,9,2.25
0.5400000000000001,9,2.25
0.5600000000000002,9,2.25
0.5800000000000002,9,2.25
0.6000000000000002,9,2.25
0.6200000000000002,9,2.25
0.6400000000000002,9,3.0
0.6600000000000003,9,3.0
0.6800000000000003,9,4.5
0.7000000000000003,9,4.5
0.7200000000000003,9,9.0
0.7400000000000003,9,9.0
0.7600000000000003,9,9.0
0.7800000000000004,9,9.0
0.8000000000000004,9,9.0
0.8200000000000004,9,9.0
0.8400000000000004,9,9.0
0.8600000000000004,9,9.0
0.8800000000000004,9,9.0
0.9000000000000005,9,9.0
0.9200000000000005,9,9.0
0.9400000000000005,9,9.0
0.9600000000000005,9,9.0
0.9800000000000005,9,9.0
