phi,theta
80.9,85.0
82.9,89.5
80.8,84.8
80.2,88.9
77.3,83.8
83.2,83.9
77.7,86.6
78.6,83.3
56.4,84.9
51.1,84.0
47.5,83.0
307.4,89.5
309.3,87.7
314.2,88.5
166.5,79.1
180.4,79.2
170.0,78.9
351.2,88.8
350.0,89.6
345.8,89.2
328.3,94.0
329.0,92.6
340.2,90.3
332.6,91.7
339.0,90.7
341.8,89.1
