method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.04477,0.04477
DFTB,0.04005,0.04608
AM1,0.04938,0.0662
PM3,0.05336,0.0685
PM3MM,0.05354,0.06574
PM6,0.08337,0.09714
