method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,1.55646,1.55646
DFTB,4.28929,4.3622
AM1,6.26097,6.5853
PM3,6.55586,6.74163
PM3MM,6.55643,6.74221
PM6,6.18672,5.76595
