method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,0.6212,0.6212
DFTB,2.85865,3.01149
AM1,3.91827,3.94034
PM3,4.46159,4.54475
PM3MM,4.50007,4.58849
PM6,4.47955,4.41163
