phi,theta
0.0,0.0
210.0,51.0
270.0,51.0
150.0,51.0
90.0,51.0
120.0,55.0
300.0,55.0
60.0,55.0
0.0,55.0
240.0,55.0
180.0,62.4
21.8,62.6
338.3,62.6
330.0,88.0
210.0,88.0
270.0,88.0
180.0,89.6
115.5,89.9
244.6,89.9
295.4,90.1
64.6,90.1
0.0,90.4
30.0,92.0
90.0,92.0
150.0,92.0
201.8,117.4
158.3,117.4
0.2,117.6
240.0,125.0
120.0,125.0
300.0,125.0
60.0,125.0
180.0,125.0
30.0,129.0
270.0,129.0
90.0,129.0
330.0,129.0
180.0,180.0
