REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1_bo3: 0.617,4c1_os2: 0.594,4c1_1s5(1): 0.332,4c1_os2: 0.317,4c1_os2: 0.243,4c1_os2: 0.313
4c1_1s3: 0.258,4c1_b25: 0.15,4c1_os2: 0.139,4c1_bo3: 0.202,4c1_1s5(0): 0.168,4c1_b25: 0.231
,4c1_1s3: 0.089,4c1_bo3: 0.125,4c1_3s1(1): 0.165,4c1_bo3: 0.164,4c1_5s1: 0.19
,,4c1_3s1(1): 0.124,4c1_1s3: 0.1,4c1_3s1(1): 0.131,4c1_3s1(1): 0.168
,,4c1_1s3: 0.104,4c1_25b: 0.092,4c1_1s3: 0.085,
,,4c1_14b: 0.094,,4c1_14b: 0.081,
,,4c1_25b: 0.062,,4c1_25b: 0.073,
