LM1,TS,LM2,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,e1,5s1,0,0,0,0,0,0,0,0.5,0,0,0
4c1,e5,1s5,0,0,0,0,0,0,0,0.5,0,0,0
4c1,oh1,3s1,0.312,0.267,0.157,0.488,0.255,0.504,0.107,0,0,0,0
4c1,e3,1s3,0.188,0.469,0.685,0,0.473,0,0.197,0,0.454,0.455,0.312
4c1,oh5,os2,0.312,0.263,0.158,0.512,0.272,0.496,0.106,0,0,0,0
4c1,2h3,2so,0,0,0,0,0,0,0.199,0,0,0,0
4c1,e3,2so,0.188,0,0,0,0,0,0.197,0,0,0,0
4c1,4h3,1s3,0,0,0,0,0,0,0.194,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0,0,0,0.273,0.273,0.188
4c1,4h5,1s5,0,0,0,0,0,0,0,0,0.273,0.273,0.188
4c1,e3,bo3,0,0,0,0,0,0,0,0,0,0,0.312
