LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,3.39,3.891,4.684,n/a,3.505,n/a,n/a,n/a,5.68
os2,3h2,1c4,3.39,3.891,4.684,n/a,3.505,3.931,3.902,4.226,5.68
os2,b25,1c4,2.698,2.721,n/a,n/a,1.913,1.782,1.752,n/a,4.092
1s3,eo,1c4,n/a,n/a,n/a,n/a,5.938,n/a,n/a,4.099,7.486
bo3,eo,1c4,n/a,n/a,n/a,n/a,5.938,n/a,n/a,4.099,7.486
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.926,3.039
1s3,1h2,1c4,5.243,5.119,5.136,n/a,3.522,3.66,3.63,3.024,3.529
1s3,1ho,1c4,8.728,8.198,6.502,n/a,5.269,3.926,3.896,3.108,7.107
1s5,1h2,1c4,5.243,5.119,5.136,4.246,3.522,3.66,3.63,3.024,3.529
1s3,5e,1c4,6.77,5.381,5.573,n/a,3.183,2.989,2.96,2.207,4.239
bo3,5h4,1c4,6.198,6.108,n/a,n/a,3.458,2.867,2.838,n/a,n/a
25b,5h4,1c4,6.198,6.108,5.536,n/a,3.458,2.867,2.838,n/a,n/a
bo3,5e,1c4,6.77,5.381,5.573,n/a,3.183,2.989,2.96,n/a,4.239
3s1,3h4,1c4,6.946,5.577,5.327,n/a,5.038,4.263,4.233,4.747,n/a
25b,5e,1c4,6.77,5.381,5.573,n/a,3.183,2.989,2.96,n/a,n/a
bo3,1ho,1c4,8.728,8.198,n/a,n/a,n/a,3.926,3.896,n/a,n/a
bo3,1h2,1c4,5.243,5.119,n/a,n/a,n/a,3.66,3.63,n/a,n/a
3s1,5h4,1c4,6.198,6.108,5.536,n/a,n/a,2.867,2.838,n/a,6.463
5s1,5h4,1c4,6.198,6.108,5.536,n/a,n/a,2.867,2.838,6.347,n/a
3s1,5e,1c4,6.77,5.381,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,6.198,6.108,5.536,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,6.77,n/a,5.573,n/a,n/a,2.989,2.96,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.747,8.297
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,5.243,n/a,n/a,n/a,n/a,3.66,3.63,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,3.505,3.475,n/a,7.05
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.096,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.024,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.283,8.574
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.218,4.092
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.226,5.68
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.416,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.169,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.05
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.039
