method,arc_phys_WRMSD,arc_WRMSD
REF,0.03993,0.03993
B3LYP,0.04454,0.04454
DFTB,0.03935,0.03935
AM1,0.04993,0.06185
PM3,0.05206,0.06767
PM3MM,0.05652,0.06827
PM6,0.08011,0.09618
