method,arc_phys_WRMSD,arc_WRMSD
REF,0.05367,0.05367
B3LYP,0.06152,0.06152
DFTB,0.08687,0.08802
AM1,0.10676,0.10649
PM3,0.11852,0.12306
PM3MM,0.11852,0.12306
PM6,0.22246,0.2169
