LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,4h5,1s5,5.868,4.494,3.781,n/a,2.77,1.278,1.871,n/a,6.472
4c1,oh5,1s5,7.397,6.774,3.634,n/a,4.331,n/a,n/a,n/a,7.701
4c1,4h5,os2,6.263,4.38,n/a,n/a,2.697,2.267,2.272,n/a,n/a
4c1,4h3,bo3,3.728,2.88,n/a,n/a,2.609,1.484,1.495,4.604,5.229
4c1,e3,bo3,1.956,1.536,2.704,n/a,2.604,2.375,2.386,4.604,5.421
4c1,4h5,bo3,n/a,n/a,n/a,n/a,2.704,n/a,n/a,n/a,6.187
4c1,oh1,5s1,3.883,3.286,n/a,n/a,2.181,2.907,2.907,n/a,n/a
4c1,2h1,5s1,3.255,2.209,n/a,n/a,0.703,2.617,2.617,n/a,n/a
4c1,oh5,os2,7.792,6.661,5.166,n/a,4.257,2.363,2.368,1.226,4.647
4c1,oh1,3s1,5.831,4.791,4.23,n/a,4.517,3.757,3.757,n/a,5.854
4c1,oh1,os2,6.878,5.027,n/a,n/a,4.912,4.501,4.507,n/a,n/a
4c1,4h3,1s3,3.168,1.863,3.391,n/a,3.162,2.111,2.091,n/a,5.488
4c1,4e,1s3,4.075,3.624,3.301,n/a,3.292,2.131,2.111,n/a,5.335
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.017,5.077
4c1,b25,os2,3.22,1.973,n/a,n/a,n/a,2.539,2.545,n/a,n/a
4c1,3ob,1s5,2.56,2.404,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,5.202,3.714,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,6.745,6.425,3.916,n/a,n/a,1.619,1.619,n/a,n/a
4c1,3ob,3s1,1.907,2.055,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,2.585,1.67,n/a,n/a,n/a,1.089,1.089,n/a,n/a
4c1,3ob,os2,2.955,2.291,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,1.396,0.519,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,3.176,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,1.645,-0.126,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,2.553,1.635,n/a,2.26,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,n/a,4.152,4.149,n/a,n/a
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,n/a,1.523,1.523,n/a,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,n/a,1.795,1.795,n/a,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.551,n/a
4c1,oh1,25b,n/a,n/a,n/a,n/a,n/a,4.441,4.438,n/a,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,n/a,0.48,0.48,n/a,n/a
4c1,2h1,bo3,7.938,n/a,n/a,n/a,n/a,n/a,n/a,5.688,n/a
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,7.268,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,8.919,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
