phi,theta,energy (A.U.),G298 (Hartrees),Pucker,phi_lm1,theta_lm1,phi_lm2,theta_lm2
179.98274965781684,89.03314774729384,-271.598474523,-271.47959,bo3,153.53082813493643,89.22400845920355,206.201835422296,89.21731996810666
335.80206901900243,62.33569378646437,-271.591955805,-271.474024,oh5,333.7178517456516,90.7804304303178,0.7800605486559846,1.1091314360441404
115.9921740656982,89.5666502543158,-271.59714331,-271.478606,25b,89.85871772950726,89.99602657143167,154.00609192087035,89.18499544130292
359.9834150999911,90.96726623586198,-271.59847472,-271.479588,o3b,333.5316887568997,90.82362025896593,26.194740918732904,90.80649365729198
63.996422656656776,90.4588970749493,-271.597150045,-271.478508,b14,26.12618961777832,90.8316451818997,89.95501790239173,89.95767109514182
0.23909345816361482,118.5969664995784,-271.591634656,-271.474501,3e,26.24538862571747,90.79496470022652,26.277797112497304,90.80128485129548
155.81090336765664,117.65693347877946,-271.591956264,-271.474001,5ho,153.82558923474917,89.21583022921368,153.82900812925226,89.2161363685019
295.9314303820271,90.4377443477002,-271.597142813,-271.478591,b25,333.946715070176,90.80835065570561,269.8763017305057,90.01676636363632
24.68661758264207,62.34270079332795,-271.591958664,-271.473977,oh1,26.27829149313724,90.80612541912348,359.8582524059548,1.0860647687480383
243.99704080939705,89.54163495834716,-271.59714986,-271.47851,14b,269.9397322380241,90.04175421180842,206.17127628366467,89.17828250406907
204.6901889925753,117.6569051125771,-271.591958422,-271.473982,1ho,180.039482560472,178.9286456475521,206.32024542593666,89.21176951963517
180.2390934581636,61.40303350042159,-271.591634656,-271.474501,e3,206.27376519182616,89.19136256936743,206.33305034583975,89.20679159895336
