phi,theta,energy (A.U.),G298 (Hartrees),Pucker,phi_lm2,theta_lm2,phi_lm1,theta_lm1
204.03443070402074,117.87969522566243,-271.553448234,-271.43573,1ho,207.2416176328423,89.22666685610581,180.03712876813927,179.1106487631233
180.02539384855564,89.01950780682972,-271.560532902,-271.441833,bo3,152.76713302297009,89.22584840849001,207.20614585837873,89.23382783045489
155.90057668445687,117.87434318932594,-271.553445666,-271.435725,5ho,152.85005016600041,89.22382401125553,152.8459129683744,89.21653876528693
244.72237233855765,89.61287116842603,-271.55936629,-271.441048,14b,269.89653541625603,90.0077486595566,207.22116082614386,89.23138573860008
64.73089452302484,90.39762865347774,-271.559365853,-271.44105,b14,90.02459104603027,90.00309932653144,27.257963360069542,90.77653815835802
24.03978333817585,62.11973934911449,-271.553448288,-271.435729,oh1,359.97780717660874,0.8888225482394638,27.240720769792517,90.77325852976092
115.18130661653458,89.59693727944035,-271.559365117,-271.441053,25b,152.80288895372675,89.23236563684323,90.02273015450166,89.99591707908476
295.2755459112391,90.3933222614421,-271.559361713,-271.441057,b25,269.95605710008033,89.9919137238276,332.82439901516256,90.76925378129005
0.023541147200246797,90.98049824934803,-271.560532857,-271.441833,o3b,27.155824949702104,90.76680077248689,332.76391175793754,90.77432484034564
180.3741534638023,61.96013698977068,-271.554360272,-271.437121,e3,207.20949813555296,89.22744002366431,359.25793283667053,0.8911309565268124
336.02301540008057,62.12347915824894,-271.553447348,-271.435739,oh5,332.7630326647161,90.77411787362333,359.92612362823934,0.897929177622422
0.37415346380229475,118.03986301022931,-271.554360272,-271.437121,3e,179.26151763300174,179.1088103762126,332.85766363531775,90.76789263071423
