phi,theta,energy (A.U.),G298 (Hartrees),Pucker,phi_lm1,theta_lm1,phi_lm2,theta_lm2
180.02445209163162,89.93844532792518,-271.42322182,-271.309572,bo3,206.12390951835818,89.9833983611025,153.80291980141126,89.9709262166139
15.550983833402249,62.650545627436195,-271.417126821,-271.304686,oe,26.163976295670537,90.02562223409478,359.9516329492209,2.087668765028222
344.4506315355792,62.65165752313922,-271.417122467,-271.304671,oe,333.9161218643354,90.02443157863893,0.008729001311001067,2.0977745179011476
164.44484421107427,117.34717961099301,-271.417122459,-271.304674,eo,180.0518656638124,177.90406991179916,153.89146385911,89.97490381345212
195.53485590264603,117.34932241766629,-271.417126875,-271.304683,eo,179.95138309809306,177.91204144121,206.16505449978143,89.9745708913713
115.27509880083439,90.04755751172621,-271.42202048,-271.30865,25b,89.89906289492792,89.99800351095429,153.96873006913398,89.97866541636785
0.022630232917971043,90.06153484337118,-271.423221753,-271.309572,o3b,333.828589324484,90.02959555834846,26.093479695732043,90.01727447956993
64.6627137715826,89.94681806031925,-271.422022704,-271.308645,b14,26.140052006521294,90.02964348562591,89.9924166043929,90.00538177285623
0.49111607256165707,117.9234034272415,-271.416752022,-271.304555,3e,26.16437810761374,90.02556787993036,26.161828608564523,90.02584279830829
295.3216456421815,89.93669512903425,-271.422022916,-271.308644,b25,270.0616898796171,89.99204168572851,333.8547571070852,90.02568186138384
244.6758805156732,90.06410035719222,-271.422023154,-271.308643,14b,206.16395415945865,89.97081988769932,206.15270671561802,89.97353822903024
180.49111607256165,62.076596572758504,-271.416752022,-271.304555,e3,206.16938944428404,89.9743301583527,206.1585391840577,89.97510571467384
