LM1,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1c4,0.002,0.001,0.007,0.065,0.044,0.025,0.025,0.293
2so,1c4,0.965,0.961,0.897,0.295,0.377,0.321,0.251,0.543
1s3,1c4,0.03,0.033,0.067,0.132,0.166,0.007,0.008,0.063
3ob,1c4,0.001,0.001,0.016,0.275,0.074,0.231,0.234,0.055
os2,1c4,0.0,0.001,0.01,0.174,0.026,0.12,0.135,0.021
5s1,1c4,0.001,0.003,0.003,0.059,0.31,0.248,0.257,0
b14,1c4,0.0,0.0,0.0,0,0.001,0.046,0.048,0
b25,1c4,0,0,0,0,0.002,0.002,0.043,0.026
