method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,0.76645,0.76645
B3LYP,2.34664,2.50837
APFD,1.95725,2.11346
DFTB,3.29693,3.31026
AM1,3.08623,3.21932
PM3,3.51975,3.55919
PM3MM,3.48945,3.4819
PM6,3.28756,3.06002
