LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,oe,3ob,0.0,0.0,0.0,0,0.015,0.002,0.003,0
4c1,4h3,2so,0.0,0.001,0.0,0,0.182,0,0,0
4c1,oh1,5s1,0.001,0.0,0.0,0,0.011,0,0,0
4c1,4e,2so,0,0,0,0.165,0.062,0.034,0.063,0.215
4c1,oh5,os2,0.0,0.0,0.0,0.048,0.085,0,0,0
4c1,4e,1s3,0,0,0,0.368,0.109,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.03,0.03,0,0,0
4c1,4h5,1s5,0.0,0.001,0.0,0.26,0.182,0.211,0.294,0.757
4c1,oh1,2so,0,0,0.0,0,0.009,0,0,0.015
4c1,4h5,os2,0,0,0,0,0.314,0.172,0.227,0
4c1,4h3,1s3,0,0.022,0.006,0,0,0,0,0
4c1,oh1,b14,0.009,0.011,0.003,0,0,0.03,0.052,0
4c1,oh1,3ob,0.0,0.001,0.0,0,0,0.002,0.003,0
4c1,2h3,5s1,0.974,0.929,0.959,0,0,0,0,0
4c1,2h3,2so,0.001,0.002,0.003,0,0,0,0,0
4c1,e3,2so,0.015,0.033,0.023,0,0,0,0,0
4c1,b14,5s1,0,0,0.006,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.128,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0.005,0.007,0
4c1,4h5,b25,0,0,0,0,0,0.509,0.296,0
4c1,2e,2so,0,0,0,0,0,0.012,0.022,0
4c1,4h5,3ob,0,0,0,0,0,0.024,0.034,0
4c1,oh1,5e,0,0,0,0,0,0,0,0.013
