method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.04305,0.04305
B3LYP,0.06635,0.06635
APFD,0.04695,0.04695
DFTB,0.03286,0.03286
AM1,0.10262,0.10281
PM3,0.09922,0.09897
PM3MM,0.09934,0.0977
PM6,0.11957,0.12983
