LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,-5.087,-4.667,-6.54,-2.819,-2.233,-1.58,-1.573,-1.727
1s5,1h2,1c4,-5.087,-4.667,-6.54,n/a,-2.233,n/a,n/a,-1.727
2so,5ho,1c4,-1.445,-0.666,-3.646,-1.926,-0.968,-0.059,-0.219,n/a
2so,5e,1c4,-1.445,-0.666,-3.646,-1.926,-0.968,-0.059,-0.219,-1.362
1s3,5ho,1c4,-3.491,n/a,n/a,n/a,-1.453,n/a,n/a,-2.638
3ob,3h2,1c4,-5.392,-4.7,-6.017,-1.967,-1.929,n/a,n/a,-2.719
os2,3h2,1c4,-5.961,-4.543,-6.289,-2.24,-2.556,-0.644,-0.585,n/a
os2,b14,1c4,n/a,n/a,n/a,n/a,-2.556,n/a,n/a,n/a
os2,3h4,1c4,n/a,n/a,n/a,n/a,-2.556,n/a,n/a,n/a
5s1,5e,1c4,-5.534,-4.179,-7.104,-2.882,-1.083,-0.213,-0.206,n/a
1s3,1e(b),1c4,-3.491,-2.66,-5.187,-2.401,n/a,n/a,n/a,n/a
1s5,1e(b),1c4,-5.087,n/a,-6.54,-2.819,n/a,n/a,n/a,n/a
1s3,1e(a),1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3ob,3h4,1c4,-5.392,-4.7,-6.017,-1.967,n/a,n/a,n/a,n/a
b14,3h4,1c4,-7.129,-6.287,-9.055,n/a,n/a,n/a,n/a,n/a
5s1,3h4,1c4,n/a,-4.179,n/a,n/a,n/a,n/a,n/a,n/a
b14,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,eo,1c4,n/a,n/a,n/a,-2.401,n/a,n/a,n/a,n/a
b25,e2,1c4,n/a,n/a,n/a,n/a,n/a,-2.987,-1.265,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,-0.213,-0.206,n/a
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,-0.261,n/a
1s5,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.727
b25,1s5,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.164
1s5,oh1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.727
b25,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.164
3ob,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.719
2so,3h4,1c4,-1.445,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5e,1c4,-3.491,n/a,n/a,n/a,n/a,n/a,n/a,n/a
