method,arc_phys_WRMSD,arc_WRMSD
REF,0.02624,0.02624
B3LYP,0.03644,0.03644
APFD,0.07092,0.07092
DFTB,0.08386,0.08699
AM1,0.12,0.1171
PM3,0.08315,0.08103
PM3MM,0.08373,0.09012
PM6,0.2154,0.20351
